week,month,year,date,revenue
48,12,2009,2009-12-02,117866.01
49,12,2009,2009-12-06,284404.19
50,12,2009,2009-12-14,282874.95
51,12,2009,2009-12-20,140540.61000000002
1,1,2010,2010-01-06,114512.46
2,1,2010,2010-01-12,186913.24
3,1,2010,2010-01-19,132430.371
4,1,2010,2010-01-25,171743.77
5,1,2010,2010-01-30,47108.661
5,2,2010,2010-02-03,86028.392
6,2,2010,2010-02-08,100811.8
7,2,2010,2010-02-16,165723.941
8,2,2010,2010-02-22,167528.452
9,2,2010,2010-02-27,33620.721
9,3,2010,2010-03-03,118739.18000000001
10,3,2010,2010-03-08,159117.05
11,3,2010,2010-03-16,154407.881
12,3,2010,2010-03-23,217913.24
13,3,2010,2010-03-29,183392.78
13,4,2010,2010-04-01,30823.15
14,4,2010,2010-04-07,101693.95
15,4,2010,2010-04-13,147032.311
16,4,2010,2010-04-19,191124.99
17,4,2010,2010-04-27,181571.59100000001
18,4,2010,2010-04-30,29283
18,5,2010,2010-05-05,117897.53
19,5,2010,2010-05-10,193157.05
20,5,2010,2010-05-18,135572.86000000002
21,5,2010,2010-05-25,180510.26
22,5,2010,2010-05-29,32721.16
22,6,2010,2010-06-02,61620.24
23,6,2010,2010-06-07,207956.64
24,6,2010,2010-06-14,203897.55
25,6,2010,2010-06-22,118401.9
26,6,2010,2010-06-28,160393.81
26,7,2010,2010-07-01,30314.81
27,7,2010,2010-07-06,136340.74
28,7,2010,2010-07-13,166594.16
29,7,2010,2010-07-20,142496.17
30,7,2010,2010-07-27,158819.75
31,7,2010,2010-07-30,16147.31
31,8,2010,2010-08-03,132776.9
32,8,2010,2010-08-10,149740.67
33,8,2010,2010-08-16,181327.52
34,8,2010,2010-08-24,164782.43
35,8,2010,2010-08-29,68647.39
35,9,2010,2010-09-02,59869.42
36,9,2010,2010-09-07,149366.59
37,9,2010,2010-09-14,168377.281
38,9,2010,2010-09-21,218410.39
39,9,2010,2010-09-28,328309.33
40,10,2010,2010-10-05,287171.47
41,10,2010,2010-10-11,322533.95
42,10,2010,2010-10-18,265061.56
43,10,2010,2010-10-25,213074.03
44,10,2010,2010-10-30,77642.9
44,11,2010,2010-11-03,210207.51
45,11,2010,2010-11-09,380483.141
46,11,2010,2010-11-15,355370.751
47,11,2010,2010-11-23,316752.13
48,11,2010,2010-11-28,207458.95
48,12,2010,2010-12-01,213418.34
49,12,2010,2010-12-06,664286.96
50,12,2010,2010-12-13,239570.95
51,12,2010,2010-12-19,145322.54
1,1,2011,2011-01-06,117879.99
2,1,2011,2011-01-12,201898.18
3,1,2011,2011-01-19,135191.38999999998
4,1,2011,2011-01-26,128955.29
5,1,2011,2011-01-31,30256.11
5,2,2011,2011-02-02,98893.21
6,2,2011,2011-02-09,104824.18
7,2,2011,2011-02-16,139823.4
8,2,2011,2011-02-23,148808.97
9,2,2011,2011-02-28,31282.13
9,3,2011,2011-03-03,100956.55
10,3,2011,2011-03-08,141077.78
11,3,2011,2011-03-16,143686.25
12,3,2011,2011-03-23,162567.61
13,3,2011,2011-03-29,169351.17
13,4,2011,2011-04-01,25667.510000000002
14,4,2011,2011-04-06,131513.05
15,4,2011,2011-04-13,146760.161
16,4,2011,2011-04-19,154376.48
17,4,2011,2011-04-27,79491.42
18,5,2011,2011-05-05,135047.86
19,5,2011,2011-05-11,220927.38
20,5,2011,2011-05-18,201528.51
21,5,2011,2011-05-24,182923.91
22,5,2011,2011-05-30,30108.36
22,6,2011,2011-06-02,70335.08
23,6,2011,2011-06-08,233274.2
24,6,2011,2011-06-15,180207.12
25,6,2011,2011-06-22,151332.3
26,6,2011,2011-06-28,126591.2
26,7,2011,2011-07-01,13675.06
27,7,2011,2011-07-06,177359
28,7,2011,2011-07-13,125941.94
29,7,2011,2011-07-19,192460.64
30,7,2011,2011-07-26,176293.941
31,7,2011,2011-07-31,33490.61
31,8,2011,2011-08-03,163123.45
32,8,2011,2011-08-10,192093.48
33,8,2011,2011-08-17,167158.68
34,8,2011,2011-08-24,168711.26
35,8,2011,2011-08-30,68051.51
35,9,2011,2011-09-02,79692.17
36,9,2011,2011-09-07,174311.59
37,9,2011,2011-09-13,249903.2
38,9,2011,2011-09-21,323144.86
39,9,2011,2011-09-28,231538.352
40,10,2011,2011-10-05,319097.52
41,10,2011,2011-10-12,219289.62
42,10,2011,2011-10-18,286328.22000000003
43,10,2011,2011-10-26,238323.56
44,10,2011,2011-10-31,91940.38
44,11,2011,2011-11-03,201582.34
45,11,2011,2011-11-09,378921.39
46,11,2011,2011-11-16,387633.79
47,11,2011,2011-11-23,330859.65
48,11,2011,2011-11-29,210499.16
48,12,2011,2011-12-02,109861.32
49,12,2011,2011-12-06,360479.76
